Linea,Grupo,Tipo,Codigo,DETALLE,CostoTxt
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IN,Espuma-0.5mm-Blanco-C/Film Impreso Gris-DI0013-500mx1.50m-MP0139,0.94
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501INA,Espuma-0.5mm-Blanco-C/Film Impreso Gris-DI0013-500mx 0.75m+0.75m -MP0204,1.48
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IO,Espuma-0.5mm-Blanco-C/Film 30 Mic Impreso Rojo-DI0017-300m x 0.90m-,3.99
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IP,Espuma-0.5mm-Blanco-C/Film 30 Cristal -300m x 0.90m-,5.06
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IQ,Espuma-0.5mm-Blanco-C/Film Impreso Gris-DI0012-300mx1m-MP0176,0.29
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IR,Espuma-0.5mm-Blanco-C/Film Impreso Gris-DI0012-300mx 0.90 m-MP0177,0.29
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IS,Espuma-0.5mm-Blanco-C/Film Cristal 300 m x 0.65m + 0.65m - MP0178,0.84
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IT,Espuma-0.5mm-Blanco-C/Film Cristal-300m x 1.20m-Solapa 8cm ambos lados-MP0193,3.26
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IU,Espuma-0.5mm-Blanco-C/Film Imp-DI0018-300mx1.20m-Solapa 8cm de c/lado-MP0192,2.7
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IV,Espuma-0.5mm-Blanco-C/Film AD Negro DI0009-56X000053-500mx 0.70 m +0.40m-MP0202,0.27
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IW,MP0219 - Bob de PEE + HD de 0.5mm de espesor c/film impreso DI0019 de 1.00 x 500,0.94
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IX,MP0220 - Bob de PEE + HD de 0.5mm de espesor c/film impreso DI0019 de 1.50 x 500,2.27
Sin Linea,Espuma con Film,Espuma 0.5 mm,01501IXA,MP0218 -  0.5mm de espesor c/film impreso DI0019 de 0.75m+0.75m x 500,0.91
Sin Linea,Espumas de Polietileno,Espuma 0.75 mm,01502A,Espuma-0.75mm-Blanco-200mx1m,0
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504A,Espuma-1mm-Blanco-200mx1m,1.18
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504AC,Espuma-1mm-Blanco-200mx1m,1.67
Sin Linea,Espumas de Polietileno, ,01504ACD,Espuma-1mm-Blanco-200mx1m  Densidad 30 Kg/m³ ,0.12
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504B,Espuma-1mm-Blanco-200mx1.2m,0.93
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504BC,Espuma-1mm-Blanco-200mx1.2m,0.09
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504BCC,Espuma-1mm-Blanco-PREMIUM,1.26
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504BCD,**NO USAR**Espuma-1mm-Blanco-200mx1.2m-PREMIUM,0.48
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504C,Espuma-1mm-Blanco-200mx1.5m,1.08
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504CC,Espuma-1mm-Blanco-200mx1.5m,1.48
Sin Linea,Espumas de Polietileno,Espuma 1 mm,01504D,Espuma-1mm-Blanco,1.89
Sin Linea,Espumas de Polietileno, ,01504E,Blanco [Ancho 2 m]  [Esp. 1 mm]  ,0
Sin Linea,Espuma con Film,Espuma 1 mm,01505A,Espuma-1mm-Blanco-C/Film,2.71
Sin Linea,Espuma con Film, ,01505AZ,Espuma-1mm-Blanco-C/Film-NO CONFORME,0
Sin Linea,Espuma con Film,Espuma 1 mm,01505B,Espuma-1mm-Blanco-C/Film Cli.,0.48
Sin Linea,Espuma con Film,Espuma 1 mm,01505BB,Espuma-1mm-Blanco-C/Doble Film Cli.,1.87
Sin Linea,Espuma con Film, ,01505BBZ,Espuma-1mm-Blanco  Con Film Cli. NO CONFORME ,0
Sin Linea,Espuma con Film,Espuma 1 mm,01505C,Espuma-1mm-Blanco- Aluminizado,3.65
Sin Linea,Espuma con Film,Espuma 1 mm,01505I,Espuma-1mm-Blanco-C/Film Indupoles Cristal-MP0077,1.06
Sin Linea,Espuma con Film,Espuma 1 mm,01505IA,Espuma-1mm-Blanco-C/Film Indupoles Cristal-400mx1m-MP0057,0.11
Sin Linea,Espuma con Film,Espuma 1 mm,01505IB,Espuma-1mm-Blanco-C/Film Indupoles Cristal-500mx1.20m-MP0058,0.58
Sin Linea,Espuma con Film,Espuma 1 mm,01505IC,Espuma-1mm-Blanco-C/Film Indupoles Cristal-400mx1.50m-MP0059,0.51
Sin Linea,Espuma con Film,Espuma 1 mm,01505ID,Espuma-1mm-Blanco-C/Film Advertencia Negro,0.25
Sin Linea,Espuma con Film,Espuma 1 mm,01505IE,Espuma-1mm-Blanco-C/Film Advertencia Negro-400mx1m,0.27
Sin Linea,Espuma con Film,Espuma 1 mm,01505IF,Espuma-1mm-Blanco-C/Film Advertencia Negro-400mx1.20m,0.25
Sin Linea,Espuma con Film,Espuma 1 mm,01505IG,Espuma-1mm-Blanco-C/Film Advertencia Negro-400mx1.50m-MP0076,0.25
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506A,Espuma-1.5mm-Blanco-200mx1m,1.44
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506AC,Espuma-1.5mm-Blanco-200mx1m,1.07
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506ACS,Manta-1.5mm-Blanco-200mx1m-Const-,0
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506B,Espuma-1.5mm-Blanco-200mx1.2m,1.35
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506BC,Espuma-1.5mm-Blanco-200mx1.2m,1.81
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506BCC,Espuma-1.5mm-Blanco-PREMIUM,0.74
Sin Linea,Espumas de Polietileno, ,01506BCD,Blanco [Ancho 1.2 m]  [Esp. 1.5 mm]  Densidad 30 Kg/m³ ,0
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506BCS,Manta-1.5mm-Blanco-200mx1.2m-Const-,0
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506BIN,Espuma-1.5mm-Blanco- x 300m x 1.20m-MP0008,0.25
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506C,Espuma-1.5mm-Blanco-200mx1.5m,1.64
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506CC,Espuma-1.5mm-Blanco-200mx1.5m,0.69
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506CCS,Manta-1.5mm-Blanco-200mx1.5m-Const-,0
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506CIN,Espuma-1.5mm-Blanco- x 300m x 1.50m-MP0009,1.26
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506D,Espuma-1.5mm-Blanco,0.92
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506DS,Manta-1.5mm-Blanco-Const-,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507A,Espuma-1.5mm-Blanco-C/Film,3.05
Sin Linea,Espuma con Film, ,01507AA,Espuma-1.5mm-Blanco-C/Film,0.65
Sin Linea,Espuma con Film, ,01507AAZ,Espuma-1.5mm-Blanco-C/Film-NO CONFORME,0
Sin Linea,Espuma con Film, ,01507AZ,Espuma-1.5mm-Blanco-C/Film-NO CONFORME,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507B,Espuma-1.5mm-Blanco-C/Film Cli.,2.66
Sin Linea,Espuma con Film, ,01507BA,Espuma-1.5mm-Blanco-C/Film Cli.,0.48
Sin Linea,Espuma con Film, ,01507BAZ,Espuma-1.5mm-Blanco-C/Film Cli.-NO CONFORME,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507BB,Espuma-1.5mm-Blanco-C/Doble Film Cli.,2.31
Sin Linea,Espuma con Film, ,01507BBZ,Espuma-1.5mm-Blanco- Con Film Cli. NO CONFORME ,0
Sin Linea,Espuma con Film, ,01507BZ,Espuma-1.5mm-Blanco- Con Film Cli. NO CONFORME ,0
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507C,Espuma-1.5mm-Aluminizado,0.51
