Linea,Grupo,Tipo,Codigo,DETALLE,Costo	
Sin Linea,Espuma con Film,Espuma 1 mm,01505I,Espuma-1mm-Blanco-C/Film Indupoles Cristal-MP0077,1,06071176304952	
Sin Linea,Espuma con Film,Espuma 1 mm,01505IA,Espuma-1mm-Blanco-C/Film Indupoles Cristal-400mx1m-MP0057,0,112309453498772	
Sin Linea,Espuma con Film,Espuma 1 mm,01505IB,Espuma-1mm-Blanco-C/Film Indupoles Cristal-500mx1.20m-MP0058,0,577421057902708	
Sin Linea,Espuma con Film,Espuma 1 mm,01505IC,Espuma-1mm-Blanco-C/Film Indupoles Cristal-400mx1.50m-MP0059,0,51213976923242	
Sin Linea,Espuma con Film,Espuma 1 mm,01505ID,Espuma-1mm-Blanco-C/Film Advertencia Negro,0,247155363806915	
Sin Linea,Espuma con Film,Espuma 1 mm,01505IE,Espuma-1mm-Blanco-C/Film Advertencia Negro-400mx1m,0,267210368431586	
Sin Linea,Espuma con Film,Espuma 1 mm,01505IF,Espuma-1mm-Blanco-C/Film Advertencia Negro-400mx1.20m,0,247155363806915	
Sin Linea,Espuma con Film,Espuma 1 mm,01505IG,Espuma-1mm-Blanco-C/Film Advertencia Negro-400mx1.50m-MP0076,0,247155363806915	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506A,Espuma-1.5mm-Blanco-200mx1m,1,03540223556269	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506AC,Espuma-1.5mm-Blanco-200mx1m,1,06640012821626	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506ACS,Manta-1.5mm-Blanco-200mx1m-Const-,0	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506B,Espuma-1.5mm-Blanco-200mx1.2m,1,31933137319141	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506BC,Espuma-1.5mm-Blanco-200mx1.2m,0,551824718425101	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506BCC,Espuma-1.5mm-Blanco-PREMIUM,0,74	
Sin Linea,Espumas de Polietileno, ,01506BCD,Blanco [Ancho 1.2 m]  [Esp. 1.5 mm]  Densidad 30 Kg/m³ ,	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506BCS,Manta-1.5mm-Blanco-200mx1.2m-Const-,0	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506BIN,Espuma-1.5mm-Blanco- x 300m x 1.20m-MP0008,0,252024266304764	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506C,Espuma-1.5mm-Blanco-200mx1.5m,1,1805357635643	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506CC,Espuma-1.5mm-Blanco-200mx1.5m,0,556649401615219	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506CCS,Manta-1.5mm-Blanco-200mx1.5m-Const-,0	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506CIN,Espuma-1.5mm-Blanco- x 300m x 1.50m-MP0009,1,25704155559999	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506D,Espuma-1.5mm-Blanco,1,93452446212354	
Sin Linea,Espumas de Polietileno,Espuma 1.5 mm,01506DS,Manta-1.5mm-Blanco-Const-,0	
Sin Linea,Espuma con Film,Espuma 1.5 mm,01507A,Espuma-1.5mm-Blanco-C/Film,3,05212150075999	
Sin Linea,Espuma con Film, ,01507AA,Espuma-1.5mm-Blanco-C/Film,0,65	
