Linea,Grupo,Tipo,Codigo,DETALLE,Costo	
Sin Linea,Tubos de Espuma,TUBO 32X62,01766B,Tubo32x62mm-15x2m (Saldillo),224,426042093694	
Sin Linea,Tubos de Espuma,TUBO 32X62,01766BC,Tira32x62mm-15x2m (Saldillo)-,224,426042093694	
Sin Linea,Tubos de Espuma,TUBO 32X62,01766BE,TUBO 32X62 Extrusion,	
Sin Linea,Tubos de Espuma,TUBO 30X60,01766BF,Tubo30x60mm-Colores-75x2m,72,3703176279898	
Sin Linea,Tubos de Espuma,TUBO 30X60,01766BFM,Tubo30x60mm-Colores-Tirasx2m,0,62172722746696	
Sin Linea,Tubos de Espuma,TUBO 32X52,01766BL,Tubo32x52mm-Aluminio BLANCO-15x2m,10,17	
Sin Linea,Tubos de Espuma,TUBO 32X52,01766C,Tubo32x52mm-Aluminio-15x2m,108,245898618129	
Sin Linea,Tubos de Espuma,TUBO 32X52,01766CF,Tubo Gris 32x52mm-Aluminio-15x2m,183,363247835856	
Sin Linea,Tubos de Espuma,TUBO 32X52,01766CP,Tubo32x52mm-Aluminio-15x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 32X52,01766D,Tubo32x52mm-Aluminizado-15x2m,0,94303739492108	
Sin Linea,Tubos de Espuma,TUBO 32X52,01766E,Tubo32x52mm-80 tiras x 2m,160,161657045857	
Sin Linea,Tubos de Espuma,TUBO 32X52,01766FE,TUBO 32X52 Blanco Extrusión,1,49725341884547	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767A,Tubo35x55mm-15x2m,45,8110418920612	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767AA,Tubo35x55mm-C/Alum.Raf.,7,68080066040983	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767AE,TUBO 35X55 Extrusión,1,73748045424037	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767AP,Tubo35x55mm-15x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767AS,Tubo35x55mm-15x2m (Saladillo),9,94914195692323	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767ASC,Tira35x55mm-15x2m (Saladillo)-,37,029255384424	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767B,Tubo35x55mm-70x2m,212,311716458505	
Sin Linea,Tubos de Espuma, ,01767BE,Anulado,	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767BL,Tubo35x55mm-Aluminio BLANCO-15x2m,128,84	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767C,Tubo35x55mm-Aluminio-15x2m,264,157754762542	
Sin Linea,Tubos de Espuma,TUBO 35X55,01767CP,Tubo35x55mm-Aluminio-15x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma, ,01767CS,Tubo35x55mm-Aluminio-15x2m IND. SALADILLO,	
Sin Linea,Tubos de Espuma, ,01767D,Anulado,	
Sin Linea,Tubos de Espuma, ,01767PE,TUBO 35X55 Extrusion/Rollo x 150,	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768A,Tubo38x58mm-15x2m,64,0491243188226	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768AA,Tubo38x58mm-C/Alum.Raf.,	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768AB,Tubo38x58mm-70 tiras x 2m,536,987315084271	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768AE,TUBO 38X58 Extrusión,1,97850802772483	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768AP,Tubo38x58mm-15x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768AS,Tubo38x58mm-15x2m (Saladillo),24,4244206928741	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768ASC,Tira38x58mm-15x2m (Saladillo)-,46,2364004785368	
Sin Linea,Tubos de Espuma,TUBO 38X68,01768B,Tubo38x68mm-15x2m (Saladillo),39,1	
Sin Linea,Tubos de Espuma,TUBO 38X68,01768BC,Tira38x68mm-15x2m (Saladillo)-,39,1	
Sin Linea,Tubos de Espuma,TUBO 38X68,01768BE,TUBO 38X68 Extrusión,0,27	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768BL,Tubo38x58mm-Aluminio BLANCO-15x2m,42,23	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768C,Tubo38x58mm-Aluminio-15x2m,112,694233730305	
Sin Linea,Tubos de Espuma,TUBO 38X58,01768CP,Tubo38x58mm-Aluminio-15x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769A,Tubo43x63mm-10x2m,29,6342654655103	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769AE,TUBO43X63 Extrusión,0,780841548186466	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769AP,Tubo43x63mm-10x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769AS,Tubo43x63mm-10x2m (Saladillo),27,4564322387567	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769ASC,Tira43x63mm-10x2m (Saladillo)-,33,3734036129257	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769B,Tubo43x63mm-60 tiras x 2m,141,9491748269	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769BL,Tubo43x63mm-Aluminio BLANCO-10x2m,	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769C,Tubo43x63mm-Aluminio-20x2m-Exportación,0	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769CS,Tubo43x63mm-Aluminio-10x2m-IND. SALADILLO,	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769D,Tubo43x63mm-Aluminio-10x2m,149,178270717683	
Sin Linea,Tubos de Espuma,TUBO 43X63,01769DP,Tubo43x63mm-Aluminio-10x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 43X73,01769E,Tubo43x73mm-10x2m (Saladillo),0	
Sin Linea,Tubos de Espuma,TUBO 43X73,01769EC,Tira43x73mm-10x2m (Saladillo)-,0	
Sin Linea,Tubos de Espuma,TUBO 45X70,01770A,Tubo45x70mm-50x2.5mt,	
Sin Linea,Tubos de Espuma,TUBO 45X70,01770AE,TUBO 45X70 Extrusión,	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771A,Tubo51x71mm-10x2m,58,7675542957734	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771AE,TUBO 51X71 Extrusión,2,81396917408018	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771AP,Tubo51x71mm-10x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771AS,Tubo51x71mm-10x2m (Saladillo),89,0731392436753	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771ASC,Tira51x71mm-10x2m (Saladillo)-,56,0330634858231	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771B,Tubo51x71mm-45x2m,113,337801646496	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771BL,Tubo51x71mm-Aluminio BLANCO-10x2m,1,57	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771C,Tubo51x71mm-Aluminio-10x2m,332,408827751932	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771CP,Tubo51x71mm-Aluminio-10x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771CS,Tubo51x71mm-Aluminio-10x2m-IND. SALADILLO,	
Sin Linea,Tubos de Espuma,TUBO 51X71,01771D,Tubo51x71mm-Blanco,0,96966975272322	
Sin Linea,Tubos de Espuma,TUBO 51X81,01771ES,Tubo51x81mm-10x2m (Saladillo),95,3067640042939	
Sin Linea,Tubos de Espuma,TUBO 51X81,01771ESC,Tira51x81mm-10x2m (Saladillo)-,95,3067640042939	
Sin Linea,Tubos de Espuma,TUBO 52X82,01772A,Tubo52x82mm-30x2m-Amarillo,84,0670972504455	
Sin Linea,Tubos de Espuma,TUBO 52X92,01772AA,Tubo52x92mm-30x2m Amarillo C/Alum.Raf.,1829,43661938887	
Sin Linea,Tubos de Espuma,TUBO 52X82,01772AB,Tubo52x82mm-30x2m-Azul,32,6004360847441	
Sin Linea,Tubos de Espuma,TUBO 52X82,01772AC,Tubo52x82mm-30x2m-Rojo,51,5954794835185	
Sin Linea,Tubos de Espuma,TUBO 52X82,01772AD,Tubo52x82mm-30x2m-Verde,99,9173593547933	
Sin Linea,Tubos de Espuma,TUBO 52X92,01772AE,TUBO52X92 Extrusión,2,02398289145315	
Sin Linea,Tubos de Espuma,TUBO 52X82,01772AM,Tubo52x82mm-Colores-Tirasx2m,	
Sin Linea,Tubos de Espuma,TUBO 52X92,01772C,Tubo52x92mm-Blanco-C/Aluminio,	
Sin Linea,Tubos de Espuma,TUBO 64X84,01773A,Tubo64x84mm-7x2m,30,3474760801579	
Sin Linea,Tubos de Espuma,TUBO 64X84,01773AB,Tubo64x84mm-35x2m,412,204643090168	
Sin Linea,Tubos de Espuma,TUBO 64X84,01773AE,TUBO 64X84 Extrusión,	
Sin Linea,Tubos de Espuma,TUBO 64X84,01773AP,Tubo64x84mm-7x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 64X84,01773AS,Tubo64x84mm-7x2m (Saladillo),110,792034294893	
Sin Linea,Tubos de Espuma,TUBO 64X84,01773ASC,Tira64x84mm-7x2m (Saladillo)-,65,9719595891001	
Sin Linea,Tubos de Espuma,TUBO 64X94,01773B,Tubo64x94mm-7x2m,	
Sin Linea,Tubos de Espuma,TUBO 64X94,01773BS,Tubo64x94mm-7x2m (Saladillo),43,6411539325248	
Sin Linea,Tubos de Espuma,TUBO 64X94,01773BSC,Tira64x94mm-7x2m (Saladillo)-,43,6411539325248	
Sin Linea,Tubos de Espuma,TUBO 64X84,01773CS,Tubo64x84mm-Aluminio-7x2m (Saladillo),	
Sin Linea,Tubos de Espuma,TUBO 79X99,01774A,Tubo79x99mm-5x2m,	
Sin Linea,Tubos de Espuma,TUBO 79X99,01774AE,TUBO79X99 Extrusión,	
Sin Linea,Tubos de Espuma,TUBO 79X99,01774AS,Tubo79x99mm-5x2m (Saladillo),67,5185506165518	
Sin Linea,Tubos de Espuma,TUBO 79X99,01774ASC,Tira79x99mm-5x2m (Saladillo)-,54,0636481427867	
Sin Linea,Tubos de Espuma,TUBO 79X109,01774B,Tubo79x109mm-5x2m,49,5382691643249	
Sin Linea,Tubos de Espuma,TUBO 79X109,01774BC,Tira79x109mm-5x2m-,49,5382691643249	
Sin Linea,Tubos de Espuma,TUBO 89X109,01774C,TUBO89X109 (5TIRAS X 2M),	
Sin Linea,Tubos de Espuma,TUBO 79X99,01774CS,Tubo79x99mm-5x2m IND SALADILLO,	
Sin Linea,Tubos de Espuma,TUBO 42X78,01775A,Tubo42x78 Descentrado 40 X 2M,	
Sin Linea,Tubos de Espuma,TUBO 17X55,01775BE,TUBO17X55 EXTRUSION COLOR(100),	
Sin Linea,Tubos de Espuma,TUBO 45X65,01776A,Tubo45x65mm-50x2 5m,108,384079227376	
Sin Linea,Tubos de Espuma,TUBO 45X65,01776AE,TUBO 45X65 Extrusión,0,788813728466251	
Sin Linea,Tubos de Espuma,COVERTHOR 1/2,01776B,Coverthor 1/2 30x2m,25,8454583793753	
Sin Linea,Tubos de Espuma,COVERTHOR 1/2,01776BA,Coverthor 1/2 Aluminizado 30x2m,102,451876355769	
Sin Linea,Tubos de Espuma,COVERTHOR 1/2,01776BAC,CoverTira 1/2 Aluminizado 30x2m,71,6428157777844	
Sin Linea,Tubos de Espuma, ,01776BAZ,Coverthor 1/2 Aluminizado NO CONFORME,	
Sin Linea,Tubos de Espuma,COVERTHOR 1/2,01776BB,Coverthor 1/2-Aluminio Interperie-25x2m (Saladillo),203,343452213516	
Sin Linea,Tubos de Espuma,COVERTHOR 1/2,01776BBC,CoverTira 1/2-Aluminio-25x2m (Saladillo) - Const-,126,722634480299	
Sin Linea,Tubos de Espuma,COVERTHOR 1/2,01776BC,CoverTira 1/2 30x2m-,36,1568102792916	
Sin Linea,Tubos de Espuma,COVERTHOR 1/2,01776BE,Coverthor 1/2  Extrusión,0,719115026489221	
Sin Linea,Tubos de Espuma, ,01776BS,( 25 x 41) Extrusión,0,889230264376631	
Sin Linea,Tubos de Espuma, ,01776C,Coverthor,	
Sin Linea,Tubos de Espuma,COVERTHOR 3/4,01777B,Coverthor 3/4 25x2m,22,4487026499137	
Sin Linea,Tubos de Espuma,COVERTHOR 3/4,01777BA,Coverthor 3/4 Aluminizado 25x2m,100,325331721324	
Sin Linea,Tubos de Espuma,COVERTHOR 3/4,01777BAC,CoverTira 3/4 Aluminizado 25x2m-,47,7524940630102	
Sin Linea,Tubos de Espuma,COVERTHOR 3/4,01777BB,Coverthor 3/4-Aluminio Interperie-20x2m (Saladillo),306,198976749806	
Sin Linea,Tubos de Espuma,COVERTHOR 3/4,01777BBC,CoverTira 3/4-Aluminio-20x2m (Saladillo)-,104,40651110385	
Sin Linea,Tubos de Espuma,COVERTHOR 3/4,01777BC,CoverTira 3/4 25x2m-,32,6322580152566	
Sin Linea,Tubos de Espuma,COVERTHOR 3/4,01777BE,COVERTHOR 3/4  Extrusión,0,573239768350565	
Sin Linea,Tubos de Espuma, ,01777BS,(31 X 47) Extrusión,1,01117525054327	
Sin Linea,Tubos de Espuma,COVERTHOR 1,01778B,Coverthor 1 20x2m,25,1431195169769	
Sin Linea,Tubos de Espuma,COVERTHOR 1,01778BA,Coverthor 1 Aluminizado 20x2m,78,0241936904779	
Sin Linea,Tubos de Espuma,COVERTHOR 1,01778BAC,CoverTira 1 Aluminizado 20x2m-,53,5449832607922	
Sin Linea,Tubos de Espuma,COVERTHOR 1,01778BB,Coverthor 1-Aluminio Interperie-15x2m (Saladillo),172,113163189307	
Sin Linea,Tubos de Espuma,COVERTHOR 1,01778BBC,CoverTira 1-Aluminio-15x2m (Saladillo)-,69,0548103936259	
Sin Linea,Tubos de Espuma,COVERTHOR 1,01778BC,CoverTira 1 20x2m-,31,1332190503745	
Sin Linea,Tubos de Espuma,COVERTHOR 1,01778BE,COVERTHOR 1  Extrusión,0,685324625969059	
Sin Linea,Tubos de Espuma, ,01778BS,(38 x 54) Extrusión,3,64953626893489	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/4,01779B,Coverthor 1 1/4 15x2m,26,5119564358252	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/4,01779BA,Coverthor 1 1/4 Aluminizado 15x2m,168,261687063674	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/4,01779BAC,CoverTira 1 1/4 Aluminizado 15x2m-,37,8460496137696	
Sin Linea,Tubos de Espuma, ,01779BAZ,Coverthor 1 1/4 Aluminizado NO CONFORME,	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/4,01779BB,Coverthor 1 1/4-Aluminio Interperie-10x2m (Saladillo),210,970366276241	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/4,01779BBC,CoverTira 1 1/4-Aluminio-10x2m (Saladillo)-,114,306869606584	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/4,01779BC,CoverTira 1 1/4 15x2m-,1,06446571527181	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/4,01779BE,COVERTHOR 1 1/4  Extrusión,1,19781656436829	
Sin Linea,Tubos de Espuma, ,01779BS,(46 x 62) Extrusión,2,04883669994407	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/2,01780B,Coverthor 1 1/2 10x2m,22,8424034523565	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/2,01780BA,Coverthor 1 1/2 Aluminizado 10x2m,114,217492507659	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/2,01780BAC,CoverTira 1 1/2 Aluminizado 10x2m-,68,5703058402227	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/2,01780BB,Coverthor 1 1/2-Aluminio Interperie-10x2m (Saladillo),173,184646675427	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/2,01780BBC,CoverTira 1 1/2-Aluminio-10x2m (Saladillo)-,109,835162011322	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/2,01780BC,CoverTira 1 1/2 10x2m-,5,32232857635907	
Sin Linea,Tubos de Espuma,COVERTHOR 1 1/2,01780BE,COVERTHOR 1 1/2  Extrusión,1,63086605111319	
Sin Linea,Tubos de Espuma, ,01780BS,(53 x 69) Extrusión,2,05892559941265	
Sin Linea,Tubos de Espuma,COVERTHOR 2,01781B,Coverthor 2 7x2m,59,1462289817815	
Sin Linea,Tubos de Espuma,COVERTHOR 2,01781BA,Coverthor 2 Aluminizado 7x2m,70,9743077310322	
Sin Linea,Tubos de Espuma,COVERTHOR 2,01781BAC,CoverTira 2 Aluminizado 7x2m-,22,8591498111335	
Sin Linea,Tubos de Espuma,COVERTHOR 2,01781BB,Coverthor 2-Aluminio Interperie-7x2m (Saladillo),130,142425524126	
Sin Linea,Tubos de Espuma,COVERTHOR 2,01781BBC,CoverTira 2-Aluminio-7x2m (Saladillo)-,134,001485870026	
Sin Linea,Tubos de Espuma,COVERTHOR 2,01781BC,CoverTira 2 7x2m-,33,2381837295975	
Sin Linea,Tubos de Espuma,COVERTHOR 2 1/2,01782B,Coverthor 2 1/2 5x2m,71,2196248943801	
Sin Linea,Tubos de Espuma,COVERTHOR 2 1/2,01782BA,Coverthor 2 1/2 Aluminizado 5x2m,151,906217460454	
Sin Linea,Tubos de Espuma,COVERTHOR 2 1/2,01782BAC,CoverTira 2 1/2 Aluminizado 5x2m-,26,9585752981269	
Sin Linea,Tubos de Espuma,COVERTHOR 2 1/2,01782BB,Coverthor 2 1/2-Aluminio Interperie-5x2m (Saladillo),248,635103852344	
Sin Linea,Tubos de Espuma,COVERTHOR 2 1/2,01782BBC,CoverTira 2 1/2-Aluminio-5x2m (Saladillo)-,68,3052649871715	
Sin Linea,Tubos de Espuma,COVERTHOR 2 1/2,01782BC,CoverTira 2 1/2 5x2m-,17,3258250290907	
Sin Linea,Tubos de Espuma,COVERTHOR 3,01783B,Coverthor 3 4x2m,41,7163769814619	
Sin Linea,Tubos de Espuma,COVERTHOR 3,01783BA,Coverthor 3 Aluminizado 4x2m,56,7356334939218	
Sin Linea,Tubos de Espuma,COVERTHOR 3,01783BAC,CoverTira 3 Aluminizado 4x2m-,35,3338772562911	
Sin Linea,Tubos de Espuma,COVERTHOR 3,01783BB,Coverthor 3-Aluminio Interperie-3x2m (Saladillo),124,254527198586	
Sin Linea,Tubos de Espuma,COVERTHOR 3,01783BBC,CoverTira 3-Aluminio-3x2m (Saladillo)-,12,4534229458398	
Sin Linea,Tubos de Espuma,COVERTHOR 3,01783BC,CoverTira 3 4x2m-,19,1817638887978	
Sin Linea,Tubos de Espuma,COVERTHOR 4,01784B,Coverthor 4 3x2m,96,8137156523169	
Sin Linea,Tubos de Espuma,COVERTHOR 4,01784BA,Coverthor 4 Aluminizado 3x2m,73,7663071001923	
Sin Linea,Tubos de Espuma,COVERTHOR 4,01784BAC,CoverTira 4 Aluminizado 3x2m-,52,9791387624577	
Sin Linea,Tubos de Espuma,COVERTHOR 4,01784BB,Coverthor 4-Aluminio Interperie-3x2m (Saladillo),45,6523065528037	
Sin Linea,Tubos de Espuma,COVERTHOR 4,01784BBC,CoverTira 4-Aluminio-3x2m (Saladillo)-,208,486673996442	
Sin Linea,Tubos de Espuma,COVERTHOR 4,01784BC,CoverTira 4 3x2m-,33,0303722449291	
Sin Linea,Tubos de Espuma,TUBO 15X35,01786A,Tubo15x35mm-150x2m,0,9	
Sin Linea,Tubos de Espuma,TUBO 15X35,01786AE,Tubo 15x35mm Extrusión,0,17	
Sin Linea,Tubos de Espuma,TUBO 15X35,01786B,Tubo15x35mm-10x2m,	
Sin Linea,Tubos de Espuma, ,01786BA,XXXXXXXXX,	
Sin Linea,Tubos de Espuma,TUBO 22X42,01786BE,Tubo22x42mm  Extrusión,0,601160905115142	
Sin Linea,Tubos de Espuma,TUBO 15X35,01786C,Tubo15x35mm-Aluminio-150x2m,	
Sin Linea,Tubos de Espuma, ,01786CA,XXXXXXXXXXXXX,	
Sin Linea,Tubos de Espuma,TUBO 28X48,01786CE,TUBO 28x48mm  Extrusión,0,29	
Sin Linea,Tubos de Espuma, ,01786D,Tubo15x35mm-Aluminio-10x2m,18,15	
Sin Linea,Tubos de Espuma,TUBO 117X137,01787A,TUBO 117X137MM (X 3TIRAS X 2M),	
Sin Linea,Tubos de Espuma,TUBO 117X137,01787AS,Tubo117x137mm-3x2m (Saladillo),61,7728150281868	
Sin Linea,Tubos de Espuma,TUBO 117X137,01787ASC,Tira117x137mm-3x2m (Saladillo)-,61,7728150281868	
Sin Linea,Tubos de Espuma,TUBO 117X147,01787B,Tubo117x147mm-3x2m,32,36	
Sin Linea,Tubos de Espuma,TUBO 117X147,01787BS,Tubo117x147mm-3x2m (Saladillo),	
Sin Linea,Tubos de Espuma,TUBO 117X147,01787BSC,Tira117x147mm-3x2m (Saladillo)-,0	
Sin Linea,Tubos de Espuma,TUBO 7X27,01788A,Tubo7x27mm-50x2m,73,340818330098	
Sin Linea,Tubos de Espuma,TUBO 7X27,01788AC,Tubo7x27mm-200 tiras x 2m,379,589558924066	
Sin Linea,Tubos de Espuma,TUBO 7X27,01788AD,Tubo7x27mm-200x2.4m,224,182860172538	
Sin Linea,Tubos de Espuma,TUBO 7X27,01788AE,TUBO 7X27  Extrusión,0,609908497501171	
Sin Linea,Tubos de Espuma,TUBO 7X27,01788AP,Tubo7x27mm-50x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,COVERTHOR 3/8,01788B,Coverthor 3/8 30x2m,25,3164301221814	
Sin Linea,Tubos de Espuma,COVERTHOR 3/8,01788BA,Coverthor 3/8 Aluminizado 30x2m,83,9043199887343	
Sin Linea,Tubos de Espuma,COVERTHOR 3/8,01788BAC,CoverTira 3/8 Aluminizado 30x2m-,62,9403180495526	
Sin Linea,Tubos de Espuma,COVERTHOR 3/8,01788BB,Coverthor 3/8-Aluminio Interperie-30x2m (Saladillo),655,695268832827	
Sin Linea,Tubos de Espuma,COVERTHOR 3/8,01788BBC,CoverTira 3/8-Aluminio-30x2m (Saladillo)-,233,566748797181	
Sin Linea,Tubos de Espuma,COVERTHOR 3/8,01788BC,CoverTira 3/8 30x2m-,20,4159048866327	
Sin Linea,Tubos de Espuma,COVERTHOR 3/8,01788BE,COVERTHOR 3/8  Extrusión,0,711748378203043	
Sin Linea,Tubos de Espuma,TUBO 7X27,01788BL,Tubo7x27mm-Aluminio BLANCO-50x2m,	
Sin Linea,Tubos de Espuma, ,01788BS,(21 x 37) Extrusión,0,17	
Sin Linea,Tubos de Espuma,TUBO 7X27,01788C,Tubo7x27mm-Aluminio-50x2m,885,169731398654	
Sin Linea,Tubos de Espuma,TUBO 7X27,01788CP,Tubo7x27mm-Aluminio-50x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 90X120,01789A,Tubo90x120mm (5x3m),632,159082323298	
Sin Linea,Tubos de Espuma,TUBO 63X83,01790A,Tubo63x83mm-Aluminio-7x2m,116,239304748553	
Sin Linea,Tubos de Espuma,TUBO 63X83,01790AP,Tubo63x83mm-Aluminio-7x2m-PROMOCION,0	
Sin Linea,Tubos de Espuma,TUBO 63X83,01790BL,Tubo63x83mm-Aluminio BLANCO-7x2m,	
Sin Linea,Tubos de Espuma,TUBO 35X65,01791A,TUBO 35X65 - 15X2MTS,97,2	
Sin Linea,Tubos de Espuma,TUBO 35X65,01791AE,TUBO 35X65  Extrusión,0,52	
Sin Linea,Tubos de Espuma,TUBO 35X65,01791AS,Tubo35x65mm-15x2m (Saladillo),132,081920720632	
Sin Linea,Tubos de Espuma,TUBO 35X65,01791ASC,Tira35x65mm-15x2m (Saladillo)-,132,081920720632	
Sin Linea,Tubos de Espuma,TUBO 22X42,01792A,Tubo22x42mm-120x2m,1,8	
Sin Linea,Tubos de Espuma,TUBO 22X42,01792AA,Tubo22x42mm-25x2m,53,368250934787	
Sin Linea,Tubos de Espuma,TUBO 22X42,01792AC,Tubo22x42mm-Aluminio-120x2m,	
Sin Linea,Tubos de Espuma,TUBO 22X42,01792B,Tubo22x42mm-10x2m,	
Sin Linea,Tubos de Espuma,TUBO 22X42,01792C,Tubo22x42mm-Aluminio-20x2m,	
Sin Linea,Tubos de Espuma,TUBO 28X48,01793A,Tubo28x48mm-90x2m,2,7	
Sin Linea,Tubos de Espuma,TUBO 28X48,01793AC,Tubo28x48mm-Aluminio-90x2m,	
Sin Linea,Tubos de Espuma, ,01793B,Tubo28x48mm-20x2m,	
Sin Linea,Tubos de Espuma, ,01793C,Tubo28x48mm-Aluminio-20x2m,	
Sin Linea,SIN GRUPO, ,04794,BCCI- Pe. TRIUNFO REF.742021,	
Sin Linea,Tubos de Espuma, ,01794A,Tubo76x96mm-Aluminio Exportacion,	
Sin Linea,Tubos de Espuma, ,01795A,Tubo89x109mm-Aluminio Exportacion,	
Sin Linea,Tubos de Espuma,TUBOS,01796A,Tubos Medidas Especiales,1,16107983992507	
Sin Linea,Tubos de Espuma,TUBO 55X75,01796AA,Tubo55x75mm Conformado Gris (Tiras de 2m),	
Sin Linea,Tubos de Espuma,TUBO 55X95,01796AB,Tubo55x95mm Conformado Gris (Tiras de 2m),	
Sin Linea,Tubos de Espuma,TUBO 75X115,01796AC,Tubo75x115mm Conformado Gris (Tiras de 2m),	
Sin Linea,Tubos de Espuma,TUBO 90X130,01796AD,Tubo90X130mm Conformado Gris (Tiras de 2m),	
Sin Linea,Tubos de Espuma,TUBO 60X80,01796AE,Tubo60x80mm-15x2m,	
Sin Linea,Tubos de Espuma,TUBO 76X96,01796AF,Tubo76x96mm-12x2m,56,85	
Sin Linea,Tubos de Espuma,TUBO 102X122,01796AG,Tubo102x122mm-21x2m,	
Sin Linea,Tubos de Espuma,TUBO 14x24,01797A,Tubo 14x24 (Rollo x 50m),	
Sin Linea,Tubos de Espuma, ,01797AE,Tubo 14x24  Extrusión,	
Sin Linea,Tubos de Espuma,TUBO 20x30,01797B,Tubo 20x30 (Rollo x 50m),51,77622836803	
Sin Linea,Tubos de Espuma, ,01797BE,Tubo 20x30  Extrusión,20,3898739978841	
Sin Linea,Tubos de Espuma,TUBO 25x35,01798A,Tubo25x35mm-30x2m,23,0225590369788	
Sin Linea,Tubos de Espuma,TUBO 25x35,01798AE,Tubo25x35mm-Largo 2.25m Extrusión,0,116346595280807	
Sin Linea,Tubos de Espuma,TUBO 25x35,01798AL,Tubo25x35mm-30x2.25m,28,1688743900648	
Sin Linea,SIN GRUPO, ,01801C,LEG.ISO.D.CRESTA- 0.6x10mm-Al,	
Sin Linea,SIN GRUPO, ,01801D,LEG.ISO.D.CRESTA-0.6X50MM IGN,	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E5,01850A,Lamina-E5-5mm (x25m),141,239937869023	
Sin Linea,SIN GRUPO, ,04850A,DEVOLUCION DE LAMINAS P/ AIRE ACOND.,	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E5,01850AZ,E 5 NO CONFORME,0	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E5,01850B,Lamina-E5-5mm PROMOCION,0	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E10,01851A,Lamina-E10-10mm (x25m),249,240524957822	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E10,01851AZ,E 10 NO CONFORME,0	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E10,01851B,Lamina-E10-10mm PROMOCION,0	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E15,01852A,Lamina-E15-15mm (x25m),440,56319417254	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E20,01852AA,Lamina-E20-20mm (x25m),836,802401177471	
Sin Linea,Laminas Aire Acondicionado,AA LAMINA E20,01852AB,Lamina-E20-20mm PROMOCION,0	
